Fri Dec 30 04:14:57 2022    output.dat

         41282251 function calls (40571362 primitive calls) in 85.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50768    0.208    0.000    0.208    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:449(__iter__)
    50769    0.201    0.000    0.425    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:5562(f)
   152321    0.199    0.000    0.199    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\flags.py:47(__init__)
    50775    0.195    0.000    0.260    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
   304622    0.195    0.000    0.248    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
    50769    0.192    0.000    0.649    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:5544(_protect_consolidate)
   355383    0.191    0.000    0.245    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:346(apply_if_callable)
   152302    0.186    0.000    0.186    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\array_algos\take.py:301(_get_take_nd_function)
   761577    0.185    0.000    0.185    0.000 {built-in method builtins.hash}
    50767    0.181    0.000    0.536    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\algorithms.py:1427(take)
   355421    0.178    0.000    0.252    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:146(<lambda>)
   101546    0.177    0.000    0.205    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1539(__init__)
    50767    0.173    0.000    0.398    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1670(external_values)
    50767    0.172    0.000    1.919    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\ops\array_ops.py:58(comp_method_OBJECT_ARRAY)
   355414    0.165    0.000    0.165    0.000 {pandas._libs.lib.is_list_like}
    50767    0.164    0.000    0.184    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
   304635    0.161    0.000    0.209    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:806(__len__)
    50768    0.161    0.000    0.772    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
    50767    0.159    0.000    0.159    0.000 {built-in method numpy.asanyarray}
    50791    0.156    0.000    6.376    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:158(blknos)
   253847    0.152    0.000    0.152    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:2130(is_floating)
    50789    0.152    0.000    0.228    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:1946(check_ndim)
    50767    0.152    0.000    0.152    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
        3    0.151    0.050    0.151    0.050 {pandas._libs.writers.write_csv_rows}
    50767    0.151    0.000   22.252    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\arraylike.py:30(__eq__)
   355421    0.151    0.000    0.151    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:144(classes)
    50768    0.149    0.000    0.595    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_ufunc_config.py:434(__exit__)
   203075    0.148    0.000    1.087    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_methods.py:54(_any)
   253878    0.143    0.000    0.180    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:794(__len__)
    50771    0.141    0.000    0.208    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:3837(_set_is_copy)
    50767    0.138    0.000    0.322    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\contextlib.py:237(helper)
    50767    0.137    0.000    0.155    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1035(is_numeric_v_string_like)
    50767    0.135    0.000    0.143    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1712(set_values)
    50780    0.133    0.000    0.170    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:565(_get_root)
